sexo,provincia,comunidad,tasa,año,media,trimestre
hombres,santa cruz de tenerife,canarias,paro,2002,8.86,segundo
hombres,santa cruz de tenerife,canarias,paro,2002,8.21,primero
hombres,santa cruz de tenerife,canarias,empleo,2002,62.61,cuarto
hombres,santa cruz de tenerife,canarias,empleo,2002,63.23,tercero
hombres,santa cruz de tenerife,canarias,empleo,2002,62.47,segundo
hombres,santa cruz de tenerife,canarias,empleo,2002,63.45,primero
hombres,salamanca,castilla y leon,paro,2002,9.55,primero
hombres,las palmas,canarias,paro,2002,8.84,segundo
hombres,las palmas,canarias,paro,2002,7.5,tercero
hombres,las palmas,canarias,paro,2002,8.13,cuarto
hombres,murcia,murcia,actividad,2002,70.28,cuarto
hombres,murcia,murcia,actividad,2002,71.0,tercero
hombres,murcia,murcia,actividad,2002,69.8,segundo
hombres,murcia,murcia,actividad,2002,70.1,primero
hombres,murcia,murcia,paro,2002,8.43,cuarto
hombres,murcia,murcia,paro,2002,7.52,tercero
hombres,malaga,andalucia,empleo,2002,59.02,primero
hombres,murcia,murcia,paro,2002,8.12,segundo
hombres,murcia,murcia,empleo,2002,64.36,cuarto
hombres,murcia,murcia,empleo,2002,65.65,tercero
hombres,murcia,murcia,empleo,2002,64.14,segundo
hombres,murcia,murcia,empleo,2002,63.81,primero
hombres,navarra,navarra,actividad,2002,67.14,cuarto
hombres,navarra,navarra,actividad,2002,67.84,tercero
hombres,murcia,murcia,paro,2002,8.96,primero
hombres,malaga,andalucia,empleo,2002,60.83,segundo
hombres,malaga,andalucia,empleo,2002,59.12,tercero
hombres,malaga,andalucia,empleo,2002,57.21,cuarto
hombres,madrid,madrid,paro,2002,5.61,tercero
hombres,madrid,madrid,paro,2002,4.64,segundo
hombres,madrid,madrid,paro,2002,5.19,primero
hombres,madrid,madrid,empleo,2002,67.21,cuarto
hombres,madrid,madrid,empleo,2002,66.96,tercero
hombres,madrid,madrid,empleo,2002,67.37,segundo
hombres,madrid,madrid,empleo,2002,66.99,primero
hombres,malaga,andalucia,actividad,2002,66.31,cuarto
hombres,malaga,andalucia,actividad,2002,66.99,tercero
hombres,malaga,andalucia,actividad,2002,67.64,segundo
hombres,malaga,andalucia,actividad,2002,66.76,primero
hombres,malaga,andalucia,paro,2002,13.72,cuarto
hombres,malaga,andalucia,paro,2002,11.75,tercero
hombres,malaga,andalucia,paro,2002,10.08,segundo
hombres,malaga,andalucia,paro,2002,11.6,primero
hombres,navarra,navarra,actividad,2002,67.94,segundo
hombres,navarra,navarra,actividad,2002,68.92,primero
hombres,navarra,navarra,paro,2002,3.65,cuarto
hombres,navarra,navarra,paro,2002,3.22,tercero
hombres,palencia,castilla y leon,actividad,2002,58.78,tercero
hombres,palencia,castilla y leon,actividad,2002,58.91,segundo
hombres,palencia,castilla y leon,actividad,2002,57.46,primero
hombres,palencia,castilla y leon,paro,2002,4.57,cuarto
hombres,palencia,castilla y leon,paro,2002,5.04,tercero
hombres,palencia,castilla y leon,paro,2002,5.2,segundo
hombres,palencia,castilla y leon,paro,2002,6.13,primero
hombres,palencia,castilla y leon,empleo,2002,56.63,cuarto
hombres,palencia,castilla y leon,empleo,2002,55.82,tercero
hombres,palencia,castilla y leon,empleo,2002,55.85,segundo
hombres,palencia,castilla y leon,empleo,2002,53.94,primero
hombres,las palmas,canarias,actividad,2002,69.43,cuarto
hombres,las palmas,canarias,actividad,2002,69.39,tercero
hombres,las palmas,canarias,actividad,2002,70.51,segundo
hombres,las palmas,canarias,actividad,2002,69.17,primero
hombres,palencia,castilla y leon,actividad,2002,59.34,cuarto
hombres,sevilla,andalucia,paro,2002,14.6,segundo
hombres,orense,galicia,empleo,2002,51.78,primero
hombres,orense,galicia,empleo,2002,52.14,tercero
hombres,navarra,navarra,paro,2002,2.37,segundo
hombres,navarra,navarra,paro,2002,3.67,primero
hombres,navarra,navarra,empleo,2002,64.69,cuarto
hombres,navarra,navarra,empleo,2002,65.65,tercero
hombres,navarra,navarra,empleo,2002,66.33,segundo
hombres,navarra,navarra,empleo,2002,66.39,primero
hombres,orense,galicia,actividad,2002,52.43,cuarto
hombres,orense,galicia,actividad,2002,54.96,tercero
hombres,orense,galicia,actividad,2002,53.52,segundo
hombres,orense,galicia,actividad,2002,55.86,primero
hombres,orense,galicia,paro,2002,6.54,cuarto
hombres,orense,galicia,paro,2002,5.15,tercero
hombres,orense,galicia,paro,2002,5.9,segundo
hombres,orense,galicia,paro,2002,7.31,primero
hombres,orense,galicia,empleo,2002,49.0,cuarto
hombres,orense,galicia,empleo,2002,50.36,segundo
hombres,sevilla,andalucia,paro,2002,16.29,primero
hombres,sevilla,andalucia,empleo,2002,57.21,cuarto
hombres,sevilla,andalucia,empleo,2002,58.47,tercero
hombres,zaragoza,aragon,empleo,2002,64.05,cuarto
hombres,zaragoza,aragon,empleo,2002,63.36,tercero
hombres,zaragoza,aragon,empleo,2002,63.26,segundo
hombres,zaragoza,aragon,empleo,2002,62.95,primero
hombres,cuenca,castilla la mancha,actividad,2002,62.93,cuarto
hombres,cuenca,castilla la mancha,actividad,2002,62.28,tercero
hombres,zaragoza,aragon,paro,2002,3.95,primero
hombres,cuenca,castilla la mancha,actividad,2002,58.79,segundo
hombres,cuenca,castilla la mancha,paro,2002,2.61,cuarto
hombres,cuenca,castilla la mancha,paro,2002,5.28,tercero
hombres,cuenca,castilla la mancha,paro,2002,6.83,segundo
hombres,cuenca,castilla la mancha,paro,2002,4.57,primero
hombres,cuenca,castilla la mancha,empleo,2002,61.29,cuarto
hombres,cuenca,castilla la mancha,empleo,2002,58.99,tercero
hombres,cuenca,castilla la mancha,actividad,2002,58.49,primero
hombres,zaragoza,aragon,paro,2002,3.58,segundo
hombres,zaragoza,aragon,paro,2002,3.62,tercero
hombres,zaragoza,aragon,paro,2002,4.39,cuarto
hombres,zamora,castilla y leon,actividad,2002,56.1,tercero
hombres,zamora,castilla y leon,actividad,2002,56.35,segundo
hombres,zamora,castilla y leon,actividad,2002,55.45,primero
hombres,zamora,castilla y leon,paro,2002,6.71,cuarto
hombres,zamora,castilla y leon,paro,2002,6.99,tercero
hombres,zamora,castilla y leon,paro,2002,6.57,segundo
hombres,zamora,castilla y leon,paro,2002,6.86,primero
hombres,zamora,castilla y leon,empleo,2002,53.24,cuarto
hombres,zamora,castilla y leon,empleo,2002,52.18,tercero
hombres,zamora,castilla y leon,empleo,2002,52.65,segundo
hombres,zamora,castilla y leon,empleo,2002,51.65,primero
hombres,zaragoza,aragon,actividad,2002,67.0,cuarto
hombres,zaragoza,aragon,actividad,2002,65.74,tercero
hombres,zaragoza,aragon,actividad,2002,65.61,segundo
hombres,zaragoza,aragon,actividad,2002,65.54,primero
hombres,cuenca,castilla la mancha,empleo,2002,54.77,segundo
hombres,cuenca,castilla la mancha,empleo,2002,55.82,primero
hombres,melilla,melilla,actividad,2002,66.14,cuarto
hombres,melilla,melilla,actividad,2002,63.79,tercero
mujeres,albacete,castilla la mancha,empleo,2002,34.31,tercero
mujeres,albacete,castilla la mancha,empleo,2002,33.38,segundo
mujeres,albacete,castilla la mancha,empleo,2002,31.08,primero
mujeres,alicante,comunidad valenciana,actividad,2002,42.93,cuarto
mujeres,alicante,comunidad valenciana,actividad,2002,42.7,tercero
mujeres,alicante,comunidad valenciana,actividad,2002,44.37,segundo
mujeres,alicante,comunidad valenciana,actividad,2002,42.72,primero
mujeres,alicante,comunidad valenciana,paro,2002,14.65,cuarto
mujeres,alicante,comunidad valenciana,paro,2002,13.29,tercero
mujeres,alicante,comunidad valenciana,paro,2002,15.18,segundo
mujeres,alicante,comunidad valenciana,paro,2002,15.26,primero
mujeres,alicante,comunidad valenciana,empleo,2002,36.64,cuarto
mujeres,alicante,comunidad valenciana,empleo,2002,37.02,tercero
mujeres,alicante,comunidad valenciana,empleo,2002,37.63,segundo
mujeres,alicante,comunidad valenciana,empleo,2002,36.2,primero
mujeres,albacete,castilla la mancha,empleo,2002,33.82,cuarto
hombres,zamora,castilla y leon,actividad,2002,57.07,cuarto
mujeres,albacete,castilla la mancha,paro,2002,12.0,primero
mujeres,albacete,castilla la mancha,paro,2002,12.07,tercero
hombres,melilla,melilla,actividad,2002,63.72,segundo
hombres,melilla,melilla,actividad,2002,66.78,primero
hombres,melilla,melilla,paro,2002,3.74,cuarto
hombres,melilla,melilla,paro,2002,2.8,tercero
hombres,melilla,melilla,paro,2002,6.21,primero
hombres,melilla,melilla,empleo,2002,63.67,cuarto
hombres,melilla,melilla,empleo,2002,62.0,tercero
hombres,melilla,melilla,empleo,2002,63.72,segundo
mujeres,melilla,melilla,empleo,2002,30.03,segundo
mujeres,albacete,castilla la mancha,actividad,2002,38.99,cuarto
mujeres,albacete,castilla la mancha,actividad,2002,39.01,tercero
mujeres,albacete,castilla la mancha,actividad,2002,36.26,segundo
mujeres,albacete,castilla la mancha,actividad,2002,35.32,primero
mujeres,albacete,castilla la mancha,paro,2002,13.26,cuarto
mujeres,albacete,castilla la mancha,paro,2002,7.95,segundo
hombres,madrid,madrid,paro,2002,4.6,cuarto
hombres,valladolid,castilla y leon,empleo,2002,60.18,primero
hombres,valladolid,castilla y leon,empleo,2002,62.29,tercero
hombres,tarragona,cataluña,paro,2002,5.65,tercero
hombres,tarragona,cataluña,paro,2002,5.66,segundo
hombres,tarragona,cataluña,paro,2002,6.68,primero
hombres,tarragona,cataluña,empleo,2002,66.13,cuarto
hombres,tarragona,cataluña,empleo,2002,68.04,tercero
hombres,tarragona,cataluña,empleo,2002,67.57,segundo
hombres,tarragona,cataluña,paro,2002,5.97,cuarto
hombres,tarragona,cataluña,empleo,2002,64.72,primero
hombres,teruel,aragon,actividad,2002,57.82,tercero
hombres,teruel,aragon,actividad,2002,57.03,segundo
hombres,teruel,aragon,actividad,2002,56.27,primero
hombres,teruel,aragon,paro,2002,4.12,cuarto
hombres,teruel,aragon,paro,2002,3.84,tercero
hombres,teruel,aragon,paro,2002,4.13,segundo
hombres,teruel,aragon,actividad,2002,58.09,cuarto
hombres,tarragona,cataluña,actividad,2002,69.35,primero
hombres,tarragona,cataluña,actividad,2002,71.62,segundo
hombres,tarragona,cataluña,actividad,2002,72.12,tercero
hombres,sevilla,andalucia,empleo,2002,58.25,segundo
hombres,sevilla,andalucia,empleo,2002,57.13,primero
hombres,soria,castilla y leon,actividad,2002,64.72,cuarto
hombres,soria,castilla y leon,actividad,2002,66.94,tercero
hombres,soria,castilla y leon,actividad,2002,64.31,segundo
hombres,soria,castilla y leon,actividad,2002,65.75,primero
hombres,soria,castilla y leon,paro,2002,2.23,cuarto
hombres,soria,castilla y leon,paro,2002,3.3,tercero
hombres,soria,castilla y leon,paro,2002,2.83,segundo
hombres,soria,castilla y leon,paro,2002,3.51,primero
hombres,soria,castilla y leon,empleo,2002,63.27,cuarto
hombres,soria,castilla y leon,empleo,2002,64.73,tercero
hombres,soria,castilla y leon,empleo,2002,62.49,segundo
hombres,soria,castilla y leon,empleo,2002,63.44,primero
hombres,tarragona,cataluña,actividad,2002,70.33,cuarto
hombres,teruel,aragon,paro,2002,2.73,primero
hombres,teruel,aragon,empleo,2002,55.69,cuarto
hombres,teruel,aragon,empleo,2002,55.6,tercero
hombres,teruel,aragon,empleo,2002,54.67,segundo
hombres,valencia,comunidad valenciana,paro,2002,9.23,segundo
hombres,valencia,comunidad valenciana,paro,2002,8.13,primero
hombres,valencia,comunidad valenciana,empleo,2002,62.82,cuarto
hombres,valencia,comunidad valenciana,empleo,2002,62.71,tercero
hombres,valencia,comunidad valenciana,empleo,2002,62.71,segundo
hombres,valencia,comunidad valenciana,empleo,2002,63.48,primero
hombres,valladolid,castilla y leon,actividad,2002,67.01,cuarto
hombres,valladolid,castilla y leon,actividad,2002,67.22,tercero
hombres,valladolid,castilla y leon,actividad,2002,66.46,segundo
hombres,valladolid,castilla y leon,actividad,2002,66.16,primero
hombres,valladolid,castilla y leon,paro,2002,6.18,cuarto
hombres,valladolid,castilla y leon,paro,2002,7.34,tercero
hombres,valladolid,castilla y leon,paro,2002,8.02,segundo
hombres,valladolid,castilla y leon,paro,2002,9.03,primero
hombres,valladolid,castilla y leon,empleo,2002,62.87,cuarto
hombres,valencia,comunidad valenciana,paro,2002,9.9,tercero
hombres,valladolid,castilla y leon,empleo,2002,61.13,segundo
hombres,valencia,comunidad valenciana,paro,2002,10.07,cuarto
hombres,valencia,comunidad valenciana,actividad,2002,69.08,segundo
hombres,teruel,aragon,empleo,2002,54.73,primero
hombres,toledo,castilla la mancha,actividad,2002,69.56,cuarto
hombres,toledo,castilla la mancha,actividad,2002,69.36,tercero
hombres,toledo,castilla la mancha,actividad,2002,67.79,segundo
hombres,toledo,castilla la mancha,actividad,2002,66.62,primero
hombres,toledo,castilla la mancha,paro,2002,6.54,cuarto
hombres,toledo,castilla la mancha,paro,2002,6.11,tercero
hombres,toledo,castilla la mancha,paro,2002,8.72,segundo
hombres,toledo,castilla la mancha,paro,2002,5.75,primero
hombres,toledo,castilla la mancha,empleo,2002,65.02,cuarto
hombres,toledo,castilla la mancha,empleo,2002,65.12,tercero
hombres,toledo,castilla la mancha,empleo,2002,61.88,segundo
hombres,toledo,castilla la mancha,empleo,2002,62.8,primero
hombres,valencia,comunidad valenciana,actividad,2002,69.85,cuarto
hombres,valencia,comunidad valenciana,actividad,2002,69.61,tercero
hombres,valencia,comunidad valenciana,actividad,2002,69.1,primero
mujeres,almeria,andalucia,actividad,2002,44.16,cuarto
hombres,madrid,madrid,actividad,2002,70.65,primero
hombres,madrid,madrid,actividad,2002,70.94,tercero
hombres,cadiz,andalucia,paro,2002,19.06,cuarto
hombres,cadiz,andalucia,paro,2002,19.95,tercero
hombres,cadiz,andalucia,paro,2002,18.04,segundo
hombres,cadiz,andalucia,paro,2002,20.32,primero
hombres,cadiz,andalucia,empleo,2002,54.17,cuarto
hombres,cadiz,andalucia,empleo,2002,53.58,tercero
hombres,cadiz,andalucia,actividad,2002,66.8,primero
hombres,cadiz,andalucia,empleo,2002,54.74,segundo
hombres,cantabria,cantabria,actividad,2002,65.59,cuarto
hombres,cantabria,cantabria,actividad,2002,63.83,tercero
hombres,cantabria,cantabria,actividad,2002,64.74,segundo
hombres,cantabria,cantabria,actividad,2002,63.58,primero
hombres,cantabria,cantabria,paro,2002,8.69,cuarto
hombres,cantabria,cantabria,paro,2002,7.5,tercero
hombres,cadiz,andalucia,empleo,2002,53.22,primero
hombres,cadiz,andalucia,actividad,2002,66.78,segundo
hombres,cadiz,andalucia,actividad,2002,66.94,tercero
hombres,cadiz,andalucia,actividad,2002,66.92,cuarto
hombres,burgos,castilla y leon,empleo,2002,62.57,tercero
hombres,burgos,castilla y leon,empleo,2002,62.2,segundo
hombres,burgos,castilla y leon,empleo,2002,61.29,primero
hombres,caceres,extremadura,actividad,2002,60.73,cuarto
hombres,caceres,extremadura,actividad,2002,61.58,tercero
hombres,caceres,extremadura,actividad,2002,61.35,segundo
hombres,caceres,extremadura,actividad,2002,61.58,primero
hombres,caceres,extremadura,paro,2002,13.63,cuarto
hombres,caceres,extremadura,paro,2002,11.81,tercero
hombres,caceres,extremadura,paro,2002,12.51,segundo
hombres,caceres,extremadura,paro,2002,11.98,primero
hombres,caceres,extremadura,empleo,2002,52.45,cuarto
hombres,caceres,extremadura,empleo,2002,54.31,tercero
hombres,caceres,extremadura,empleo,2002,53.68,segundo
hombres,caceres,extremadura,empleo,2002,54.2,primero
hombres,cantabria,cantabria,paro,2002,6.37,segundo
hombres,burgos,castilla y leon,empleo,2002,60.65,cuarto
hombres,cantabria,cantabria,paro,2002,5.42,primero
hombres,cantabria,cantabria,empleo,2002,59.04,tercero
hombres,ciudad real,castilla la mancha,paro,2002,5.84,tercero
hombres,ciudad real,castilla la mancha,paro,2002,5.35,segundo
hombres,ciudad real,castilla la mancha,paro,2002,7.32,primero
hombres,ciudad real,castilla la mancha,empleo,2002,60.6,cuarto
hombres,ciudad real,castilla la mancha,empleo,2002,60.09,tercero
hombres,ciudad real,castilla la mancha,empleo,2002,60.77,segundo
hombres,ciudad real,castilla la mancha,paro,2002,5.11,cuarto
hombres,ciudad real,castilla la mancha,empleo,2002,59.83,primero
hombres,cordoba,andalucia,actividad,2002,63.64,tercero
hombres,cordoba,andalucia,actividad,2002,62.63,segundo
hombres,cordoba,andalucia,actividad,2002,62.05,primero
hombres,cordoba,andalucia,paro,2002,14.27,cuarto
hombres,cordoba,andalucia,paro,2002,17.75,tercero
hombres,cordoba,andalucia,paro,2002,14.74,segundo
hombres,cordoba,andalucia,actividad,2002,63.14,cuarto
hombres,ciudad real,castilla la mancha,actividad,2002,64.56,primero
hombres,ciudad real,castilla la mancha,actividad,2002,64.21,segundo
hombres,ciudad real,castilla la mancha,actividad,2002,63.82,tercero
hombres,cantabria,cantabria,empleo,2002,60.62,segundo
hombres,cantabria,cantabria,empleo,2002,60.14,primero
hombres,castellon,comunidad valenciana,actividad,2002,69.31,cuarto
hombres,castellon,comunidad valenciana,actividad,2002,69.73,tercero
hombres,castellon,comunidad valenciana,actividad,2002,68.68,segundo
hombres,castellon,comunidad valenciana,actividad,2002,69.28,primero
hombres,castellon,comunidad valenciana,paro,2002,3.54,cuarto
hombres,castellon,comunidad valenciana,paro,2002,2.58,tercero
hombres,castellon,comunidad valenciana,paro,2002,3.11,segundo
hombres,castellon,comunidad valenciana,paro,2002,3.09,primero
hombres,castellon,comunidad valenciana,empleo,2002,66.86,cuarto
hombres,castellon,comunidad valenciana,empleo,2002,67.93,tercero
hombres,castellon,comunidad valenciana,empleo,2002,66.55,segundo
hombres,castellon,comunidad valenciana,empleo,2002,67.15,primero
hombres,ciudad real,castilla la mancha,actividad,2002,63.87,cuarto
hombres,cantabria,cantabria,empleo,2002,59.89,cuarto
hombres,burgos,castilla y leon,paro,2002,5.13,primero
hombres,burgos,castilla y leon,paro,2002,5.58,segundo
hombres,burgos,castilla y leon,paro,2002,5.06,tercero
hombres,badajoz,extremadura,actividad,2002,65.72,tercero
hombres,badajoz,extremadura,actividad,2002,64.82,segundo
hombres,badajoz,extremadura,actividad,2002,65.43,primero
hombres,badajoz,extremadura,paro,2002,15.11,cuarto
hombres,badajoz,extremadura,paro,2002,14.64,tercero
hombres,badajoz,extremadura,paro,2002,13.01,segundo
hombres,badajoz,extremadura,actividad,2002,64.61,cuarto
hombres,badajoz,extremadura,paro,2002,15.37,primero
hombres,badajoz,extremadura,empleo,2002,56.1,tercero
hombres,badajoz,extremadura,empleo,2002,56.38,segundo
hombres,badajoz,extremadura,empleo,2002,55.37,primero
hombres,islas baleares,islas baleares,actividad,2002,71.62,cuarto
hombres,islas baleares,islas baleares,actividad,2002,74.5,tercero
hombres,islas baleares,islas baleares,actividad,2002,72.14,segundo
hombres,badajoz,extremadura,empleo,2002,54.85,cuarto
hombres,avila,castilla y leon,empleo,2002,55.51,primero
hombres,avila,castilla y leon,empleo,2002,57.03,segundo
hombres,avila,castilla y leon,empleo,2002,56.91,tercero
hombres,asturias,asturias,paro,2002,7.43,segundo
hombres,asturias,asturias,paro,2002,6.6,primero
hombres,asturias,asturias,empleo,2002,52.71,cuarto
hombres,asturias,asturias,empleo,2002,52.76,tercero
hombres,asturias,asturias,empleo,2002,52.17,segundo
hombres,asturias,asturias,empleo,2002,52.11,primero
hombres,avila,castilla y leon,actividad,2002,60.14,cuarto
hombres,avila,castilla y leon,actividad,2002,59.98,tercero
hombres,avila,castilla y leon,actividad,2002,60.61,segundo
hombres,avila,castilla y leon,actividad,2002,59.37,primero
hombres,avila,castilla y leon,paro,2002,5.83,cuarto
hombres,avila,castilla y leon,paro,2002,5.12,tercero
hombres,avila,castilla y leon,paro,2002,5.89,segundo
hombres,avila,castilla y leon,paro,2002,6.51,primero
hombres,avila,castilla y leon,empleo,2002,56.63,cuarto
hombres,islas baleares,islas baleares,actividad,2002,71.42,primero
hombres,islas baleares,islas baleares,paro,2002,8.3,cuarto
hombres,islas baleares,islas baleares,paro,2002,5.07,tercero
hombres,islas baleares,islas baleares,paro,2002,5.03,segundo
hombres,vizcaya,pais vasco,actividad,2002,63.47,segundo
hombres,vizcaya,pais vasco,actividad,2002,64.35,primero
hombres,vizcaya,pais vasco,paro,2002,8.09,cuarto
hombres,vizcaya,pais vasco,paro,2002,7.82,tercero
hombres,vizcaya,pais vasco,paro,2002,7.19,segundo
hombres,vizcaya,pais vasco,paro,2002,8.13,primero
hombres,vizcaya,pais vasco,empleo,2002,58.91,cuarto
hombres,vizcaya,pais vasco,empleo,2002,59.49,tercero
hombres,vizcaya,pais vasco,empleo,2002,58.91,segundo
hombres,vizcaya,pais vasco,empleo,2002,59.12,primero
hombres,burgos,castilla y leon,actividad,2002,65.93,cuarto
hombres,burgos,castilla y leon,actividad,2002,65.91,tercero
hombres,burgos,castilla y leon,actividad,2002,65.88,segundo
hombres,burgos,castilla y leon,actividad,2002,64.61,primero
hombres,burgos,castilla y leon,paro,2002,8.01,cuarto
hombres,vizcaya,pais vasco,actividad,2002,64.53,tercero
hombres,cordoba,andalucia,paro,2002,14.36,primero
hombres,vizcaya,pais vasco,actividad,2002,64.09,cuarto
hombres,barcelona,cataluña,empleo,2002,64.85,segundo
hombres,islas baleares,islas baleares,paro,2002,7.04,primero
hombres,islas baleares,islas baleares,empleo,2002,65.67,cuarto
hombres,islas baleares,islas baleares,empleo,2002,70.73,tercero
hombres,islas baleares,islas baleares,empleo,2002,68.51,segundo
hombres,islas baleares,islas baleares,empleo,2002,66.39,primero
hombres,barcelona,cataluña,actividad,2002,71.23,cuarto
hombres,barcelona,cataluña,actividad,2002,71.55,tercero
hombres,barcelona,cataluña,actividad,2002,70.11,segundo
hombres,barcelona,cataluña,actividad,2002,70.58,primero
hombres,barcelona,cataluña,paro,2002,9.52,cuarto
hombres,barcelona,cataluña,paro,2002,8.04,tercero
hombres,barcelona,cataluña,paro,2002,7.49,segundo
hombres,barcelona,cataluña,paro,2002,8.52,primero
hombres,barcelona,cataluña,empleo,2002,64.45,cuarto
hombres,barcelona,cataluña,empleo,2002,65.8,tercero
hombres,barcelona,cataluña,empleo,2002,64.57,primero
hombres,cordoba,andalucia,empleo,2002,54.13,cuarto
hombres,cordoba,andalucia,empleo,2002,52.35,tercero
hombres,cordoba,andalucia,empleo,2002,53.39,segundo
hombres,huesca,aragon,empleo,2002,63.37,tercero
hombres,huesca,aragon,empleo,2002,61.1,segundo
hombres,huesca,aragon,empleo,2002,60.51,primero
hombres,jaen,andalucia,actividad,2002,66.31,cuarto
hombres,jaen,andalucia,actividad,2002,65.58,tercero
hombres,jaen,andalucia,actividad,2002,64.84,segundo
hombres,huesca,aragon,empleo,2002,62.94,cuarto
hombres,jaen,andalucia,actividad,2002,64.27,primero
hombres,jaen,andalucia,paro,2002,14.99,tercero
hombres,jaen,andalucia,paro,2002,13.11,segundo
hombres,jaen,andalucia,paro,2002,9.12,primero
hombres,jaen,andalucia,empleo,2002,57.41,cuarto
hombres,jaen,andalucia,empleo,2002,55.75,tercero
hombres,jaen,andalucia,empleo,2002,56.34,segundo
hombres,jaen,andalucia,paro,2002,13.43,cuarto
hombres,huesca,aragon,paro,2002,2.48,primero
hombres,huesca,aragon,paro,2002,2.79,segundo
hombres,huesca,aragon,paro,2002,2.23,tercero
hombres,huelva,andalucia,actividad,2002,65.59,segundo
hombres,huelva,andalucia,actividad,2002,62.62,primero
hombres,huelva,andalucia,paro,2002,14.26,cuarto
hombres,huelva,andalucia,paro,2002,18.63,tercero
hombres,huelva,andalucia,paro,2002,12.67,segundo
hombres,huelva,andalucia,paro,2002,12.11,primero
hombres,huelva,andalucia,empleo,2002,56.09,cuarto
hombres,huelva,andalucia,empleo,2002,54.46,tercero
hombres,huelva,andalucia,empleo,2002,57.28,segundo
hombres,huelva,andalucia,empleo,2002,55.03,primero
hombres,huesca,aragon,actividad,2002,64.75,cuarto
hombres,huesca,aragon,actividad,2002,64.81,tercero
hombres,huesca,aragon,actividad,2002,62.85,segundo
