nivel_educativo,sexo,comunidad,año,media_poblacion,trimestre
educacion primaria,hombres,ceuta,2014,34.8,primero
educacion primaria,hombres,ceuta,2014,34.6,segundo
educacion primaria,hombres,ceuta,2014,32.3,tercero
educacion primaria,hombres,ceuta,2014,33.4,cuarto
educacion primaria,hombres,la rioja,2014,28.6,primero
educacion primaria,hombres,la rioja,2014,29.1,segundo
educacion primaria,mujeres,andalucia,2014,29.4,segundo
educacion primaria,hombres,la rioja,2014,28.3,tercero
educacion primaria,mujeres,canarias,2014,27.3,tercero
educacion primaria,mujeres,canarias,2014,26.9,primero
educacion primaria,mujeres,galicia,2014,26.6,tercero
educacion primaria,mujeres,galicia,2014,26.4,cuarto
educacion primaria,mujeres,extremadura,2014,32.8,primero
educacion primaria,mujeres,extremadura,2014,33.4,segundo
educacion primaria,mujeres,extremadura,2014,33.3,tercero
educacion primaria,mujeres,extremadura,2014,33.4,cuarto
educacion primaria,mujeres,valencia,2014,28.5,primero
educacion primaria,mujeres,valencia,2014,29.2,segundo
educacion primaria,mujeres,valencia,2014,30.8,tercero
educacion primaria,mujeres,valencia,2014,30.6,cuarto
educacion primaria,mujeres,cataluña,2014,24.1,primero
educacion primaria,mujeres,cataluña,2014,24.7,segundo
educacion primaria,mujeres,canarias,2014,27.3,segundo
educacion primaria,mujeres,cataluña,2014,24.9,tercero
educacion primaria,mujeres,castilla la mancha,2014,28.4,primero
educacion primaria,mujeres,castilla la mancha,2014,27.2,segundo
educacion primaria,mujeres,castilla la mancha,2014,27.0,tercero
educacion primaria,mujeres,castilla la mancha,2014,28.3,cuarto
educacion primaria,mujeres,castilla y leon,2014,24.3,primero
educacion primaria,mujeres,castilla y leon,2014,24.9,segundo
educacion primaria,mujeres,castilla y leon,2014,25.7,tercero
educacion primaria,mujeres,castilla y leon,2014,26.1,cuarto
educacion primaria,mujeres,cantabria,2014,21.8,primero
educacion primaria,mujeres,cantabria,2014,22.6,segundo
educacion primaria,mujeres,cantabria,2014,23.9,tercero
educacion primaria,mujeres,cantabria,2014,25.5,cuarto
educacion primaria,mujeres,cataluña,2014,25.4,cuarto
educacion primaria,hombres,la rioja,2014,28.1,cuarto
educacion primaria,hombres,pais vasco,2014,24.5,primero
educacion primaria,hombres,pais vasco,2014,24.3,segundo
educacion primaria,hombres,castilla la mancha,2014,35.4,segundo
educacion primaria,hombres,castilla la mancha,2014,35.0,tercero
educacion primaria,hombres,castilla la mancha,2014,35.0,cuarto
educacion primaria,hombres,castilla y leon,2014,30.6,primero
educacion primaria,hombres,castilla y leon,2014,30.9,segundo
educacion primaria,hombres,castilla y leon,2014,31.1,tercero
educacion primaria,hombres,castilla y leon,2014,31.7,cuarto
educacion primaria,hombres,cantabria,2014,29.2,primero
educacion primaria,hombres,cantabria,2014,28.7,segundo
educacion primaria,hombres,cantabria,2014,29.3,tercero
educacion primaria,hombres,cantabria,2014,31.0,cuarto
educacion primaria,hombres,canarias,2014,29.8,primero
educacion primaria,hombres,castilla la mancha,2014,35.4,primero
educacion primaria,hombres,canarias,2014,30.5,segundo
educacion primaria,hombres,canarias,2014,30.4,cuarto
educacion primaria,hombres,baleares,2014,37.2,primero
educacion primaria,hombres,baleares,2014,39.4,segundo
educacion primaria,hombres,baleares,2014,38.6,tercero
educacion primaria,hombres,baleares,2014,40.1,cuarto
educacion primaria,hombres,asturias,2014,25.5,primero
educacion primaria,hombres,asturias,2014,25.2,segundo
educacion primaria,hombres,asturias,2014,25.5,tercero
educacion primaria,hombres,asturias,2014,26.1,cuarto
educacion primaria,hombres,aragon,2014,26.0,primero
educacion primaria,hombres,aragon,2014,26.6,segundo
educacion primaria,hombres,aragon,2014,26.0,tercero
educacion primaria,hombres,canarias,2014,30.2,tercero
educacion primaria,hombres,cataluña,2014,28.8,cuarto
educacion primaria,hombres,cataluña,2014,28.9,tercero
educacion primaria,hombres,cataluña,2014,29.7,segundo
educacion primaria,hombres,pais vasco,2014,23.6,tercero
educacion primaria,hombres,pais vasco,2014,24.1,cuarto
educacion primaria,hombres,navarra,2014,26.3,primero
educacion primaria,hombres,navarra,2014,26.8,segundo
educacion primaria,hombres,navarra,2014,27.2,tercero
educacion primaria,hombres,navarra,2014,27.2,cuarto
educacion primaria,hombres,region de murcia,2014,33.1,primero
educacion primaria,hombres,region de murcia,2014,33.4,segundo
educacion primaria,hombres,region de murcia,2014,33.4,tercero
educacion primaria,hombres,region de murcia,2014,33.8,cuarto
educacion primaria,hombres,madrid,2014,22.3,primero
educacion primaria,hombres,madrid,2014,22.4,segundo
educacion primaria,hombres,madrid,2014,22.3,tercero
educacion primaria,hombres,madrid,2014,20.9,cuarto
educacion primaria,hombres,galicia,2014,34.2,primero
educacion primaria,hombres,galicia,2014,34.6,segundo
educacion primaria,hombres,galicia,2014,33.6,tercero
educacion primaria,hombres,galicia,2014,33.9,cuarto
educacion primaria,hombres,extremadura,2014,38.7,primero
educacion primaria,hombres,extremadura,2014,39.5,segundo
educacion primaria,hombres,extremadura,2014,39.0,tercero
educacion primaria,hombres,extremadura,2014,42.3,cuarto
educacion primaria,hombres,valencia,2014,33.9,primero
educacion primaria,hombres,valencia,2014,34.3,segundo
educacion primaria,hombres,valencia,2014,35.8,tercero
educacion primaria,hombres,valencia,2014,36.3,cuarto
educacion primaria,hombres,cataluña,2014,29.4,primero
educacion primaria,hombres,andalucia,2014,33.7,primero
educacion primaria,mujeres,galicia,2014,26.8,segundo
educacion primaria,hombres,cataluña,2014,16.6,segundo
educacion primaria,hombres,cataluña,2014,15.7,cuarto
primaria incompleta,hombres,cataluña,2014,5.1,cuarto
primaria incompleta,hombres,castilla la mancha,2014,11.3,primero
primaria incompleta,hombres,castilla la mancha,2014,11.3,segundo
primaria incompleta,hombres,castilla la mancha,2014,10.7,tercero
primaria incompleta,hombres,castilla la mancha,2014,10.3,cuarto
primaria incompleta,hombres,castilla y leon,2014,4.9,primero
primaria incompleta,hombres,castilla y leon,2014,4.9,segundo
primaria incompleta,hombres,castilla y leon,2014,5.1,tercero
primaria incompleta,hombres,castilla y leon,2014,5.3,cuarto
primaria incompleta,hombres,cantabria,2014,2.1,primero
primaria incompleta,hombres,cantabria,2014,1.7,segundo
primaria incompleta,hombres,cantabria,2014,1.6,tercero
primaria incompleta,hombres,cataluña,2014,5.0,tercero
primaria incompleta,hombres,cantabria,2014,1.8,cuarto
primaria incompleta,hombres,canarias,2014,8.1,segundo
primaria incompleta,hombres,canarias,2014,7.8,tercero
primaria incompleta,hombres,canarias,2014,7.4,cuarto
primaria incompleta,hombres,baleares,2014,6.0,primero
primaria incompleta,hombres,baleares,2014,6.2,segundo
primaria incompleta,hombres,baleares,2014,6.3,tercero
primaria incompleta,hombres,baleares,2014,6.2,cuarto
primaria incompleta,hombres,asturias,2014,2.9,primero
primaria incompleta,hombres,asturias,2014,2.7,segundo
primaria incompleta,hombres,asturias,2014,2.7,tercero
primaria incompleta,hombres,asturias,2014,3.1,cuarto
primaria incompleta,hombres,aragon,2014,4.8,primero
primaria incompleta,hombres,canarias,2014,8.3,primero
primaria incompleta,hombres,aragon,2014,4.5,segundo
primaria incompleta,hombres,cataluña,2014,5.5,segundo
primaria incompleta,hombres,valencia,2014,5.0,cuarto
primaria incompleta,hombres,pais vasco,2014,1.8,segundo
primaria incompleta,hombres,pais vasco,2014,1.5,tercero
primaria incompleta,hombres,pais vasco,2014,1.4,cuarto
primaria incompleta,hombres,navarra,2014,2.9,primero
primaria incompleta,hombres,navarra,2014,3.6,segundo
primaria incompleta,hombres,navarra,2014,2.7,tercero
primaria incompleta,hombres,navarra,2014,2.4,cuarto
primaria incompleta,hombres,region de murcia,2014,7.4,primero
primaria incompleta,hombres,region de murcia,2014,7.4,segundo
primaria incompleta,hombres,region de murcia,2014,7.5,tercero
primaria incompleta,hombres,region de murcia,2014,7.6,cuarto
primaria incompleta,hombres,madrid,2014,4.0,primero
primaria incompleta,hombres,cataluña,2014,5.4,primero
primaria incompleta,hombres,madrid,2014,3.8,segundo
primaria incompleta,hombres,madrid,2014,3.8,cuarto
primaria incompleta,hombres,galicia,2014,5.0,primero
primaria incompleta,hombres,galicia,2014,5.2,segundo
primaria incompleta,hombres,galicia,2014,5.0,tercero
primaria incompleta,hombres,galicia,2014,5.2,cuarto
primaria incompleta,hombres,extremadura,2014,10.7,primero
primaria incompleta,hombres,extremadura,2014,10.1,segundo
primaria incompleta,hombres,extremadura,2014,10.2,tercero
primaria incompleta,hombres,extremadura,2014,10.3,cuarto
primaria incompleta,hombres,valencia,2014,5.9,primero
primaria incompleta,hombres,valencia,2014,5.7,segundo
primaria incompleta,hombres,valencia,2014,5.0,tercero
primaria incompleta,hombres,madrid,2014,3.8,tercero
primaria incompleta,hombres,aragon,2014,4.9,tercero
primaria incompleta,hombres,aragon,2014,4.8,cuarto
primaria incompleta,hombres,andalucia,2014,8.9,primero
sin estudios,mujeres,galicia,2014,1.9,primero
sin estudios,mujeres,galicia,2014,2.0,segundo
sin estudios,mujeres,galicia,2014,1.8,tercero
sin estudios,mujeres,galicia,2014,1.7,cuarto
sin estudios,mujeres,extremadura,2014,4.7,primero
sin estudios,mujeres,extremadura,2014,4.7,segundo
sin estudios,mujeres,extremadura,2014,4.3,tercero
sin estudios,mujeres,extremadura,2014,4.2,cuarto
sin estudios,mujeres,valencia,2014,2.5,primero
sin estudios,mujeres,valencia,2014,2.4,segundo
sin estudios,mujeres,valencia,2014,2.4,tercero
sin estudios,mujeres,valencia,2014,2.4,cuarto
sin estudios,mujeres,madrid,2014,0.9,cuarto
sin estudios,mujeres,cataluña,2014,1.9,primero
sin estudios,mujeres,cataluña,2014,2.2,tercero
sin estudios,mujeres,cataluña,2014,2.2,cuarto
sin estudios,mujeres,castilla la mancha,2014,3.3,primero
sin estudios,mujeres,castilla la mancha,2014,3.2,segundo
sin estudios,mujeres,castilla la mancha,2014,3.1,tercero
sin estudios,mujeres,castilla la mancha,2014,3.1,cuarto
sin estudios,mujeres,castilla y leon,2014,1.2,primero
sin estudios,mujeres,castilla y leon,2014,1.2,segundo
sin estudios,mujeres,castilla y leon,2014,1.3,tercero
sin estudios,mujeres,castilla y leon,2014,1.3,cuarto
sin estudios,mujeres,cantabria,2014,0.3,primero
sin estudios,mujeres,cantabria,2014,0.4,segundo
sin estudios,mujeres,cataluña,2014,2.1,segundo
sin estudios,mujeres,madrid,2014,1.2,tercero
sin estudios,mujeres,madrid,2014,1.3,segundo
sin estudios,mujeres,madrid,2014,1.3,primero
primaria incompleta,hombres,andalucia,2014,8.8,segundo
primaria incompleta,hombres,andalucia,2014,8.9,tercero
primaria incompleta,hombres,andalucia,2014,8.7,cuarto
sin estudios,mujeres,melilla,2014,4.9,primero
sin estudios,mujeres,melilla,2014,4.4,segundo
sin estudios,mujeres,melilla,2014,4.9,tercero
sin estudios,mujeres,melilla,2014,5.5,cuarto
sin estudios,mujeres,ceuta,2014,7.4,primero
sin estudios,mujeres,ceuta,2014,6.3,segundo
sin estudios,mujeres,ceuta,2014,4.1,tercero
sin estudios,mujeres,ceuta,2014,5.0,cuarto
sin estudios,mujeres,la rioja,2014,0.9,primero
sin estudios,mujeres,la rioja,2014,0.8,segundo
sin estudios,mujeres,la rioja,2014,0.8,tercero
sin estudios,mujeres,la rioja,2014,0.6,cuarto
sin estudios,mujeres,pais vasco,2014,0.9,primero
sin estudios,mujeres,pais vasco,2014,0.9,segundo
sin estudios,mujeres,pais vasco,2014,1.0,tercero
sin estudios,mujeres,pais vasco,2014,1.0,cuarto
sin estudios,mujeres,navarra,2014,0.8,primero
sin estudios,mujeres,navarra,2014,0.6,segundo
sin estudios,mujeres,navarra,2014,0.5,tercero
sin estudios,mujeres,navarra,2014,0.6,cuarto
sin estudios,mujeres,region de murcia,2014,4.6,primero
sin estudios,mujeres,region de murcia,2014,5.0,segundo
sin estudios,mujeres,region de murcia,2014,5.1,tercero
sin estudios,mujeres,region de murcia,2014,4.6,cuarto
primaria incompleta,hombres,pais vasco,2014,1.9,primero
educacion primaria,hombres,cataluña,2014,16.3,tercero
primaria incompleta,hombres,la rioja,2014,4.4,cuarto
primaria incompleta,hombres,la rioja,2014,3.0,segundo
educacion primaria,hombres,andalucia,2014,15.0,tercero
educacion primaria,hombres,andalucia,2014,14.8,cuarto
primaria incompleta,mujeres,melilla,2014,14.5,primero
primaria incompleta,mujeres,melilla,2014,15.4,segundo
primaria incompleta,mujeres,melilla,2014,17.2,tercero
primaria incompleta,mujeres,melilla,2014,15.7,cuarto
primaria incompleta,mujeres,ceuta,2014,10.6,primero
primaria incompleta,mujeres,ceuta,2014,11.2,segundo
primaria incompleta,mujeres,ceuta,2014,10.9,tercero
primaria incompleta,mujeres,ceuta,2014,9.9,cuarto
primaria incompleta,mujeres,la rioja,2014,3.2,primero
primaria incompleta,mujeres,la rioja,2014,3.0,segundo
educacion primaria,hombres,andalucia,2014,15.1,segundo
primaria incompleta,mujeres,la rioja,2014,3.2,tercero
primaria incompleta,mujeres,pais vasco,2014,3.2,primero
primaria incompleta,mujeres,pais vasco,2014,3.2,segundo
primaria incompleta,mujeres,pais vasco,2014,3.0,tercero
primaria incompleta,mujeres,pais vasco,2014,2.5,cuarto
primaria incompleta,mujeres,navarra,2014,3.2,primero
primaria incompleta,mujeres,navarra,2014,4.0,segundo
primaria incompleta,mujeres,navarra,2014,3.4,tercero
primaria incompleta,mujeres,navarra,2014,3.2,cuarto
primaria incompleta,mujeres,region de murcia,2014,9.7,primero
primaria incompleta,mujeres,region de murcia,2014,9.7,segundo
primaria incompleta,mujeres,region de murcia,2014,9.9,tercero
primaria incompleta,mujeres,region de murcia,2014,9.8,cuarto
primaria incompleta,mujeres,la rioja,2014,4.5,cuarto
primaria incompleta,mujeres,madrid,2014,6.2,primero
educacion primaria,hombres,andalucia,2014,14.9,primero
educacion primaria,hombres,aragon,2014,18.9,tercero
educacion primaria,hombres,castilla la mancha,2014,14.2,primero
educacion primaria,hombres,castilla la mancha,2014,13.2,segundo
educacion primaria,hombres,castilla la mancha,2014,13.1,tercero
educacion primaria,hombres,castilla la mancha,2014,13.1,cuarto
educacion primaria,hombres,castilla y leon,2014,19.1,primero
educacion primaria,hombres,castilla y leon,2014,18.2,segundo
educacion primaria,hombres,castilla y leon,2014,17.7,tercero
educacion primaria,hombres,castilla y leon,2014,17.6,cuarto
educacion primaria,hombres,cantabria,2014,14.1,primero
educacion primaria,hombres,cantabria,2014,15.2,segundo
educacion primaria,hombres,cantabria,2014,14.5,tercero
educacion primaria,hombres,cantabria,2014,13.2,cuarto
educacion primaria,hombres,aragon,2014,18.6,cuarto
educacion primaria,hombres,canarias,2014,16.6,primero
educacion primaria,hombres,canarias,2014,17.9,tercero
educacion primaria,hombres,canarias,2014,18.2,cuarto
educacion primaria,hombres,baleares,2014,11.6,primero
educacion primaria,hombres,baleares,2014,10.7,segundo
educacion primaria,hombres,baleares,2014,10.0,tercero
educacion primaria,hombres,baleares,2014,9.9,cuarto
educacion primaria,hombres,asturias,2014,21.9,primero
educacion primaria,hombres,asturias,2014,21.2,segundo
educacion primaria,hombres,asturias,2014,21.0,tercero
educacion primaria,hombres,asturias,2014,20.3,cuarto
educacion primaria,hombres,aragon,2014,19.1,primero
educacion primaria,hombres,aragon,2014,18.8,segundo
educacion primaria,hombres,canarias,2014,16.8,segundo
primaria incompleta,mujeres,madrid,2014,5.7,segundo
primaria incompleta,mujeres,madrid,2014,5.8,tercero
primaria incompleta,mujeres,madrid,2014,5.9,cuarto
primaria incompleta,mujeres,canarias,2014,8.7,cuarto
primaria incompleta,mujeres,baleares,2014,8.2,primero
primaria incompleta,mujeres,baleares,2014,7.3,segundo
primaria incompleta,mujeres,baleares,2014,7.4,tercero
primaria incompleta,mujeres,baleares,2014,8.0,cuarto
primaria incompleta,mujeres,asturias,2014,6.9,primero
primaria incompleta,mujeres,asturias,2014,6.6,segundo
primaria incompleta,mujeres,asturias,2014,6.7,tercero
primaria incompleta,mujeres,asturias,2014,6.6,cuarto
primaria incompleta,mujeres,aragon,2014,6.5,primero
primaria incompleta,mujeres,aragon,2014,6.6,segundo
primaria incompleta,mujeres,aragon,2014,6.0,tercero
primaria incompleta,mujeres,canarias,2014,8.9,tercero
primaria incompleta,mujeres,aragon,2014,5.9,cuarto
primaria incompleta,mujeres,andalucia,2014,10.8,segundo
primaria incompleta,mujeres,andalucia,2014,10.7,tercero
primaria incompleta,mujeres,andalucia,2014,10.6,cuarto
primaria incompleta,hombres,melilla,2014,9.0,primero
primaria incompleta,hombres,melilla,2014,10.3,segundo
primaria incompleta,hombres,melilla,2014,8.7,tercero
primaria incompleta,hombres,melilla,2014,8.3,cuarto
primaria incompleta,hombres,ceuta,2014,7.4,primero
primaria incompleta,hombres,ceuta,2014,8.6,segundo
primaria incompleta,hombres,ceuta,2014,5.6,tercero
primaria incompleta,hombres,ceuta,2014,5.0,cuarto
primaria incompleta,hombres,la rioja,2014,3.5,primero
primaria incompleta,mujeres,andalucia,2014,11.4,primero
primaria incompleta,mujeres,canarias,2014,9.3,segundo
primaria incompleta,mujeres,canarias,2014,9.8,primero
primaria incompleta,mujeres,cantabria,2014,3.7,cuarto
primaria incompleta,mujeres,galicia,2014,8.2,primero
primaria incompleta,mujeres,galicia,2014,8.4,segundo
primaria incompleta,mujeres,galicia,2014,8.4,tercero
primaria incompleta,mujeres,galicia,2014,8.6,cuarto
primaria incompleta,mujeres,extremadura,2014,13.1,primero
primaria incompleta,mujeres,extremadura,2014,12.8,segundo
primaria incompleta,mujeres,extremadura,2014,13.0,tercero
primaria incompleta,mujeres,extremadura,2014,12.6,cuarto
primaria incompleta,mujeres,valencia,2014,8.1,primero
primaria incompleta,mujeres,valencia,2014,8.4,segundo
primaria incompleta,mujeres,valencia,2014,7.5,tercero
primaria incompleta,mujeres,valencia,2014,7.2,cuarto
primaria incompleta,mujeres,cataluña,2014,7.5,primero
primaria incompleta,mujeres,cataluña,2014,7.2,segundo
primaria incompleta,mujeres,cataluña,2014,7.2,tercero
primaria incompleta,mujeres,cataluña,2014,7.2,cuarto
primaria incompleta,mujeres,castilla la mancha,2014,13.4,primero
primaria incompleta,mujeres,castilla la mancha,2014,13.6,segundo
primaria incompleta,mujeres,castilla la mancha,2014,13.1,tercero
primaria incompleta,mujeres,castilla la mancha,2014,12.4,cuarto
primaria incompleta,mujeres,castilla y leon,2014,5.9,primero
primaria incompleta,mujeres,castilla y leon,2014,6.0,segundo
primaria incompleta,mujeres,castilla y leon,2014,6.0,tercero
primaria incompleta,mujeres,castilla y leon,2014,5.3,cuarto
primaria incompleta,mujeres,cantabria,2014,3.0,primero
primaria incompleta,mujeres,cantabria,2014,2.9,segundo
primaria incompleta,mujeres,cantabria,2014,3.7,tercero
primaria incompleta,hombres,la rioja,2014,3.5,tercero
sin estudios,mujeres,cantabria,2014,0.5,tercero
educacion primaria,mujeres,galicia,2014,27.0,primero
educacion primaria,mujeres,madrid,2014,21.8,tercero
educacion secundaria,mujeres,melilla,2014,11.2,segundo
educacion secundaria,mujeres,melilla,2014,11.3,tercero
educacion secundaria,mujeres,melilla,2014,9.5,cuarto
educacion secundaria,mujeres,ceuta,2014,5.3,primero
educacion secundaria,mujeres,ceuta,2014,5.2,segundo
educacion secundaria,mujeres,ceuta,2014,5.3,tercero
educacion secundaria,mujeres,ceuta,2014,5.6,cuarto
educacion secundaria,mujeres,la rioja,2014,8.5,primero
educacion secundaria,mujeres,la rioja,2014,9.4,segundo
educacion secundaria,mujeres,la rioja,2014,9.2,tercero
educacion secundaria,mujeres,la rioja,2014,8.9,cuarto
educacion secundaria,mujeres,pais vasco,2014,8.6,primero
educacion secundaria,mujeres,melilla,2014,10.8,primero
educacion secundaria,mujeres,pais vasco,2014,8.3,segundo
educacion secundaria,mujeres,pais vasco,2014,8.6,cuarto
educacion secundaria,mujeres,navarra,2014,8.0,primero
educacion secundaria,mujeres,navarra,2014,7.7,segundo
educacion secundaria,mujeres,navarra,2014,7.0,tercero
