Provincias	Sexo	Periodo	Total
05 Ávila	Mujeres	2015	82.045
05 Ávila	Mujeres	2014	83.017
05 Ávila	Mujeres	2013	83.800
05 Ávila	Mujeres	2012	84.831
05 Ávila	Mujeres	2011	85.619
05 Ávila	Mujeres	2010	85.168
05 Ávila	Mujeres	2009	84.960
05 Ávila	Mujeres	2008	84.979
05 Ávila	Mujeres	2007	83.741
06 Badajoz	Hombres	2021	331.025
06 Badajoz	Hombres	2020	332.204
06 Badajoz	Hombres	2019	333.112
06 Badajoz	Hombres	2018	334.636
06 Badajoz	Hombres	2017	336.566
06 Badajoz	Hombres	2016	338.954
06 Badajoz	Hombres	2015	340.376
06 Badajoz	Hombres	2014	342.654
06 Badajoz	Hombres	2013	344.296
06 Badajoz	Hombres	2012	344.690
06 Badajoz	Hombres	2011	344.291
06 Badajoz	Hombres	2010	343.363
06 Badajoz	Hombres	2009	341.912
06 Badajoz	Hombres	2008	340.243
06 Badajoz	Hombres	2007	336.211
06 Badajoz	Mujeres	2021	338.918
06 Badajoz	Mujeres	2020	339.933
06 Badajoz	Mujeres	2019	340.447
06 Badajoz	Mujeres	2018	341.740
06 Badajoz	Mujeres	2017	343.318
06 Badajoz	Mujeres	2016	345.159
06 Badajoz	Mujeres	2015	346.354
06 Badajoz	Mujeres	2014	348.275
06 Badajoz	Mujeres	2013	349.433
06 Badajoz	Mujeres	2012	349.843
06 Badajoz	Mujeres	2011	349.630
06 Badajoz	Mujeres	2010	348.774
06 Badajoz	Mujeres	2009	346.865
06 Badajoz	Mujeres	2008	345.003
06 Badajoz	Mujeres	2007	342.248
07 Balears, Illes	Hombres	2021	584.853
07 Balears, Illes	Hombres	2020	584.298
07 Balears, Illes	Hombres	2019	572.757
07 Balears, Illes	Hombres	2018	561.803
07 Balears, Illes	Hombres	2017	554.925
07 Balears, Illes	Hombres	2016	550.682
07 Balears, Illes	Hombres	2015	549.678
07 Balears, Illes	Hombres	2014	549.801
07 Balears, Illes	Hombres	2013	554.603
07 Balears, Illes	Hombres	2012	560.091
07 Balears, Illes	Hombres	2011	557.577
07 Balears, Illes	Hombres	2010	555.204
07 Balears, Illes	Hombres	2009	551.079
07 Balears, Illes	Hombres	2008	540.395
07 Balears, Illes	Hombres	2007	517.593
07 Balears, Illes	Mujeres	2021	588.155
07 Balears, Illes	Mujeres	2020	587.245
07 Balears, Illes	Mujeres	2019	576.703
07 Balears, Illes	Mujeres	2018	567.105
07 Balears, Illes	Mujeres	2017	561.074
07 Balears, Illes	Mujeres	2016	556.538
07 Balears, Illes	Mujeres	2015	554.801
07 Balears, Illes	Mujeres	2014	553.641
07 Balears, Illes	Mujeres	2013	557.071
07 Balears, Illes	Mujeres	2012	559.348
07 Balears, Illes	Mujeres	2011	555.537
07 Balears, Illes	Mujeres	2010	550.845
07 Balears, Illes	Mujeres	2009	544.347
07 Balears, Illes	Mujeres	2008	532.449
07 Balears, Illes	Mujeres	2007	513.057
08 Barcelona	Hombres	2021	2.791.250
08 Barcelona	Hombres	2020	2.804.316
08 Barcelona	Hombres	2019	2.762.689
08 Barcelona	Hombres	2018	2.733.466
08 Barcelona	Hombres	2017	2.718.621
08 Barcelona	Hombres	2016	2.704.771
08 Barcelona	Hombres	2015	2.696.360
08 Barcelona	Hombres	2014	2.699.040
08 Barcelona	Hombres	2013	2.711.403
08 Barcelona	Hombres	2012	2.722.394
08 Barcelona	Hombres	2011	2.715.628
08 Barcelona	Hombres	2010	2.710.304
08 Barcelona	Hombres	2009	2.703.137
08 Barcelona	Hombres	2008	2.668.359
08 Barcelona	Hombres	2007	2.623.719
08 Barcelona	Mujeres	2021	2.923.480
08 Barcelona	Mujeres	2020	2.939.086
08 Barcelona	Mujeres	2019	2.901.890
08 Barcelona	Mujeres	2018	2.875.884
08 Barcelona	Mujeres	2017	2.857.416
08 Barcelona	Mujeres	2016	2.837.909
08 Barcelona	Mujeres	2015	2.827.562
08 Barcelona	Mujeres	2014	2.824.744
08 Barcelona	Mujeres	2013	2.829.522
08 Barcelona	Mujeres	2012	2.829.656
08 Barcelona	Mujeres	2011	2.813.471
08 Barcelona	Mujeres	2010	2.800.843
08 Barcelona	Mujeres	2009	2.784.798
08 Barcelona	Mujeres	2008	2.748.088
08 Barcelona	Mujeres	2007	2.708.794
48 Bizkaia	Hombres	2021	557.416
48 Bizkaia	Hombres	2020	559.798
48 Bizkaia	Hombres	2019	556.212
48 Bizkaia	Hombres	2018	554.879
48 Bizkaia	Hombres	2017	554.289
48 Bizkaia	Hombres	2016	554.342
48 Bizkaia	Hombres	2015	554.832
48 Bizkaia	Hombres	2014	556.772
48 Bizkaia	Hombres	2013	559.573
48 Bizkaia	Hombres	2012	561.134
48 Bizkaia	Hombres	2011	560.178
48 Bizkaia	Hombres	2010	559.359
48 Bizkaia	Hombres	2009	559.174
48 Bizkaia	Hombres	2008	556.095
48 Bizkaia	Hombres	2007	553.355
48 Bizkaia	Mujeres	2021	596.918
48 Bizkaia	Mujeres	2020	599.645
48 Bizkaia	Mujeres	2019	596.439
48 Bizkaia	Mujeres	2018	594.749
48 Bizkaia	Mujeres	2017	594.013
48 Bizkaia	Mujeres	2016	593.234
48 Bizkaia	Mujeres	2015	593.943
48 Bizkaia	Mujeres	2014	595.133
48 Bizkaia	Mujeres	2013	596.874
48 Bizkaia	Mujeres	2012	597.305
48 Bizkaia	Mujeres	2011	595.594
48 Bizkaia	Mujeres	2010	594.365
48 Bizkaia	Mujeres	2009	593.484
48 Bizkaia	Mujeres	2008	590.326
48 Bizkaia	Mujeres	2007	588.102
09 Burgos	Hombres	2021	177.920
09 Burgos	Hombres	2020	178.578
09 Burgos	Hombres	2019	178.230
09 Burgos	Hombres	2018	178.337
09 Burgos	Hombres	2017	178.919
09 Burgos	Hombres	2016	180.418
09 Burgos	Hombres	2015	182.142
09 Burgos	Hombres	2014	183.882
09 Burgos	Hombres	2013	186.638
09 Burgos	Hombres	2012	189.124
09 Burgos	Hombres	2011	189.652
09 Burgos	Hombres	2010	189.454
09 Burgos	Hombres	2009	190.271
09 Burgos	Hombres	2008	189.675
09 Burgos	Hombres	2007	184.713
09 Burgos	Mujeres	2021	178.135
09 Burgos	Mujeres	2020	179.072
09 Burgos	Mujeres	2019	178.728
09 Burgos	Mujeres	2018	178.733
09 Burgos	Mujeres	2017	179.252
09 Burgos	Mujeres	2016	180.577
09 Burgos	Mujeres	2015	181.860
09 Burgos	Mujeres	2014	183.018
09 Burgos	Mujeres	2013	184.610
09 Burgos	Mujeres	2012	185.846
09 Burgos	Mujeres	2011	186.005
09 Burgos	Mujeres	2010	185.372
09 Burgos	Mujeres	2009	185.292
09 Burgos	Mujeres	2008	183.997
09 Burgos	Mujeres	2007	181.259
10 Cáceres	Hombres	2021	192.951
10 Cáceres	Hombres	2020	194.084
10 Cáceres	Hombres	2019	195.388
10 Cáceres	Hombres	2018	196.619
10 Cáceres	Hombres	2017	198.494
10 Cáceres	Hombres	2016	200.285
10 Cáceres	Hombres	2015	201.702
10 Cáceres	Hombres	2014	202.962
10 Cáceres	Hombres	2013	203.758
10 Cáceres	Hombres	2012	205.634
10 Cáceres	Hombres	2011	206.573
10 Cáceres	Hombres	2010	206.358
10 Cáceres	Hombres	2009	205.638
10 Cáceres	Hombres	2008	205.949
10 Cáceres	Hombres	2007	205.481
10 Cáceres	Mujeres	2021	196.607
10 Cáceres	Mujeres	2020	197.766
10 Cáceres	Mujeres	2019	198.763
10 Cáceres	Mujeres	2018	199.868
10 Cáceres	Mujeres	2017	201.542
10 Cáceres	Mujeres	2016	203.380
10 Cáceres	Mujeres	2015	204.565
10 Cáceres	Mujeres	2014	205.741
10 Cáceres	Mujeres	2013	206.517
10 Cáceres	Mujeres	2012	207.963
10 Cáceres	Mujeres	2011	208.873
10 Cáceres	Mujeres	2010	208.725
10 Cáceres	Mujeres	2009	207.995
10 Cáceres	Mujeres	2008	206.549
10 Cáceres	Mujeres	2007	206.050
11 Cádiz	Hombres	2021	614.084
11 Cádiz	Hombres	2020	613.561
11 Cádiz	Hombres	2019	611.791
11 Cádiz	Hombres	2018	611.357
11 Cádiz	Hombres	2017	612.191
11 Cádiz	Hombres	2016	612.858
11 Cádiz	Hombres	2015	613.094
11 Cádiz	Hombres	2014	613.340
11 Cádiz	Hombres	2013	612.770
11 Cádiz	Hombres	2012	616.686
11 Cádiz	Hombres	2011	615.865
11 Cádiz	Hombres	2010	612.833
11 Cádiz	Hombres	2009	609.984
11 Cádiz	Hombres	2008	608.616
11 Cádiz	Hombres	2007	601.832
11 Cádiz	Mujeres	2021	631.876
11 Cádiz	Mujeres	2020	630.488
11 Cádiz	Mujeres	2019	628.364
11 Cádiz	Mujeres	2018	627.357
11 Cádiz	Mujeres	2017	627.244
11 Cádiz	Mujeres	2016	627.031
11 Cádiz	Mujeres	2015	627.190
11 Cádiz	Mujeres	2014	626.835
11 Cádiz	Mujeres	2013	625.722
11 Cádiz	Mujeres	2012	628.478
11 Cádiz	Mujeres	2011	627.654
11 Cádiz	Mujeres	2010	623.906
11 Cádiz	Mujeres	2009	620.610
11 Cádiz	Mujeres	2008	611.851
11 Cádiz	Mujeres	2007	605.511
39 Cantabria	Hombres	2021	283.378
39 Cantabria	Hombres	2020	282.559
39 Cantabria	Hombres	2019	281.801
39 Cantabria	Hombres	2018	281.564
39 Cantabria	Hombres	2017	281.808
39 Cantabria	Hombres	2016	282.988
39 Cantabria	Hombres	2015	284.788
39 Cantabria	Hombres	2014	286.782
39 Cantabria	Hombres	2013	288.643
39 Cantabria	Hombres	2012	289.999
39 Cantabria	Hombres	2011	289.872
39 Cantabria	Hombres	2010	289.931
39 Cantabria	Hombres	2009	288.735
39 Cantabria	Hombres	2008	285.469
39 Cantabria	Hombres	2007	280.283
39 Cantabria	Mujeres	2021	301.129
39 Cantabria	Mujeres	2020	300.346
39 Cantabria	Mujeres	2019	299.277
39 Cantabria	Mujeres	2018	298.665
39 Cantabria	Mujeres	2017	298.487
39 Cantabria	Mujeres	2016	299.218
39 Cantabria	Mujeres	2015	300.391
39 Cantabria	Mujeres	2014	301.874
39 Cantabria	Mujeres	2013	303.245
39 Cantabria	Mujeres	2012	303.862
39 Cantabria	Mujeres	2011	303.249
39 Cantabria	Mujeres	2010	302.319
39 Cantabria	Mujeres	2009	300.500
39 Cantabria	Mujeres	2008	296.669
39 Cantabria	Mujeres	2007	292.541
12 Castellón/Castelló	Hombres	2021	291.415
12 Castellón/Castelló	Hombres	2020	290.799
12 Castellón/Castelló	Hombres	2019	288.077
12 Castellón/Castelló	Hombres	2018	286.359
12 Castellón/Castelló	Hombres	2017	285.467
12 Castellón/Castelló	Hombres	2016	287.802
12 Castellón/Castelló	Hombres	2015	289.720
12 Castellón/Castelló	Hombres	2014	292.804
12 Castellón/Castelló	Hombres	2013	300.992
12 Castellón/Castelló	Hombres	2012	302.927
12 Castellón/Castelló	Hombres	2011	302.855
12 Castellón/Castelló	Hombres	2010	303.490
12 Castellón/Castelló	Hombres	2009	303.460
12 Castellón/Castelló	Hombres	2008	299.829
12 Castellón/Castelló	Hombres	2007	288.079
12 Castellón/Castelló	Mujeres	2021	295.649
12 Castellón/Castelló	Mujeres	2020	294.791
12 Castellón/Castelló	Mujeres	2019	291.885
12 Castellón/Castelló	Mujeres	2018	290.539
12 Castellón/Castelló	Mujeres	2017	290.003
12 Castellón/Castelló	Mujeres	2016	291.443
12 Castellón/Castelló	Mujeres	2015	292.607
12 Castellón/Castelló	Mujeres	2014	294.704
12 Castellón/Castelló	Mujeres	2013	300.707
12 Castellón/Castelló	Mujeres	2012	301.637
12 Castellón/Castelló	Mujeres	2011	301.489
12 Castellón/Castelló	Mujeres	2010	300.784
12 Castellón/Castelló	Mujeres	2009	298.841
12 Castellón/Castelló	Mujeres	2008	295.086
12 Castellón/Castelló	Mujeres	2007	285.203
13 Ciudad Real	Hombres	2021	243.763
13 Ciudad Real	Hombres	2020	244.842
13 Ciudad Real	Hombres	2019	244.877
13 Ciudad Real	Hombres	2018	246.656
13 Ciudad Real	Hombres	2017	248.328
13 Ciudad Real	Hombres	2016	250.847
13 Ciudad Real	Hombres	2015	254.571
13 Ciudad Real	Hombres	2014	257.918
13 Ciudad Real	Hombres	2013	260.888
13 Ciudad Real	Hombres	2012	264.067
13 Ciudad Real	Hombres	2011	264.078
13 Ciudad Real	Hombres	2010	264.098
13 Ciudad Real	Hombres	2009	263.038
13 Ciudad Real	Hombres	2008	260.649
13 Ciudad Real	Hombres	2007	253.473
13 Ciudad Real	Mujeres	2021	248.828
13 Ciudad Real	Mujeres	2020	250.203
13 Ciudad Real	Mujeres	2019	250.884
13 Ciudad Real	Mujeres	2018	252.444
13 Ciudad Real	Mujeres	2017	254.250
13 Ciudad Real	Mujeres	2016	256.041
13 Ciudad Real	Mujeres	2015	259.142
13 Ciudad Real	Mujeres	2014	261.695
13 Ciudad Real	Mujeres	2013	264.074
13 Ciudad Real	Mujeres	2012	266.183
13 Ciudad Real	Mujeres	2011	266.097
13 Ciudad Real	Mujeres	2010	265.355
13 Ciudad Real	Mujeres	2009	264.235
13 Ciudad Real	Mujeres	2008	261.694
13 Ciudad Real	Mujeres	2007	256.649
14 Córdoba	Hombres	2021	380.473
14 Córdoba	Hombres	2020	382.886
14 Córdoba	Hombres	2019	383.790
14 Córdoba	Hombres	2018	385.085
14 Córdoba	Hombres	2017	386.736
14 Córdoba	Hombres	2016	388.470
14 Córdoba	Hombres	2015	390.559
14 Córdoba	Hombres	2014	392.644
14 Córdoba	Hombres	2013	394.189
14 Córdoba	Hombres	2012	395.300
14 Córdoba	Hombres	2011	395.858
14 Córdoba	Hombres	2010	395.570
14 Córdoba	Hombres	2009	395.225
14 Córdoba	Hombres	2008	392.658
14 Córdoba	Hombres	2007	389.173
14 Córdoba	Mujeres	2021	396.316
14 Córdoba	Mujeres	2020	398.565
14 Córdoba	Mujeres	2019	399.189
14 Córdoba	Mujeres	2018	400.155
14 Córdoba	Mujeres	2017	401.483
14 Córdoba	Mujeres	2016	403.140
14 Córdoba	Mujeres	2015	405.052
14 Córdoba	Mujeres	2014	406.758
14 Córdoba	Mujeres	2013	408.233
14 Córdoba	Mujeres	2012	409.198
14 Córdoba	Mujeres	2011	409.999
14 Córdoba	Mujeres	2010	409.538
14 Córdoba	Mujeres	2009	408.773
14 Córdoba	Mujeres	2008	406.164
14 Córdoba	Mujeres	2007	403.009
15 Coruña, A	Hombres	2021	537.004
15 Coruña, A	Hombres	2020	537.781
15 Coruña, A	Hombres	2019	536.470
15 Coruña, A	Hombres	2018	536.637
15 Coruña, A	Hombres	2017	537.311
15 Coruña, A	Hombres	2016	538.878
15 Coruña, A	Hombres	2015	541.292
15 Coruña, A	Hombres	2014	544.075
15 Coruña, A	Hombres	2013	547.079
15 Coruña, A	Hombres	2012	550.009
15 Coruña, A	Hombres	2011	551.476
15 Coruña, A	Hombres	2010	551.318
15 Coruña, A	Hombres	2009	550.841
15 Coruña, A	Hombres	2008	548.037
15 Coruña, A	Hombres	2007	544.352
15 Coruña, A	Mujeres	2021	583.130
15 Coruña, A	Mujeres	2020	584.034
15 Coruña, A	Mujeres	2019	583.126
15 Coruña, A	Mujeres	2018	582.714
15 Coruña, A	Mujeres	2017	582.983
15 Coruña, A	Mujeres	2016	583.921
15 Coruña, A	Mujeres	2015	585.904
15 Coruña, A	Mujeres	2014	588.660
15 Coruña, A	Mujeres	2013	591.082
15 Coruña, A	Mujeres	2012	593.902
15 Coruña, A	Mujeres	2011	595.648
15 Coruña, A	Mujeres	2010	595.140
15 Coruña, A	Mujeres	2009	594.647
15 Coruña, A	Mujeres	2008	591.084
15 Coruña, A	Mujeres	2007	588.440
16 Cuenca	Hombres	2021	98.118
16 Cuenca	Hombres	2020	98.430
16 Cuenca	Hombres	2019	98.542
16 Cuenca	Hombres	2018	98.999
16 Cuenca	Hombres	2017	99.821
16 Cuenca	Hombres	2016	101.097
16 Cuenca	Hombres	2015	102.583
16 Cuenca	Hombres	2014	104.586
16 Cuenca	Hombres	2013	107.111
16 Cuenca	Hombres	2012	110.460
16 Cuenca	Hombres	2011	111.052
16 Cuenca	Hombres	2010	110.384
16 Cuenca	Hombres	2009	110.282
16 Cuenca	Hombres	2008	109.058
16 Cuenca	Hombres	2007	106.633
16 Cuenca	Mujeres	2021	97.398
16 Cuenca	Mujeres	2020	97.709
16 Cuenca	Mujeres	2019	97.787
16 Cuenca	Mujeres	2018	98.223
16 Cuenca	Mujeres	2017	98.897
16 Cuenca	Mujeres	2016	99.974
16 Cuenca	Mujeres	2015	101.258
16 Cuenca	Mujeres	2014	102.863
16 Cuenca	Mujeres	2013	104.788
16 Cuenca	Mujeres	2012	107.576
16 Cuenca	Mujeres	2011	108.086
16 Cuenca	Mujeres	2010	107.332
16 Cuenca	Mujeres	2009	107.081
16 Cuenca	Mujeres	2008	106.216
16 Cuenca	Mujeres	2007	104.742
20 Gipuzkoa	Hombres	2021	354.717
20 Gipuzkoa	Hombres	2020	355.130
20 Gipuzkoa	Hombres	2019	353.363
20 Gipuzkoa	Hombres	2018	351.696
20 Gipuzkoa	Hombres	2017	351.262
20 Gipuzkoa	Hombres	2016	350.998
20 Gipuzkoa	Hombres	2015	350.799
20 Gipuzkoa	Hombres	2014	350.014
20 Gipuzkoa	Hombres	2013	349.551
20 Gipuzkoa	Hombres	2012	348.655
20 Gipuzkoa	Hombres	2011	347.653
20 Gipuzkoa	Hombres	2010	347.027
20 Gipuzkoa	Hombres	2009	346.820
20 Gipuzkoa	Hombres	2008	344.679
20 Gipuzkoa	Hombres	2007	341.400
20 Gipuzkoa	Mujeres	2021	371.316
20 Gipuzkoa	Mujeres	2020	371.991
20 Gipuzkoa	Mujeres	2019	370.213
20 Gipuzkoa	Mujeres	2018	368.896
20 Gipuzkoa	Mujeres	2017	368.020
20 Gipuzkoa	Mujeres	2016	366.834
20 Gipuzkoa	Mujeres	2015	366.035
20 Gipuzkoa	Mujeres	2014	365.134
20 Gipuzkoa	Mujeres	2013	364.267
20 Gipuzkoa	Mujeres	2012	363.442
20 Gipuzkoa	Mujeres	2011	361.954
20 Gipuzkoa	Mujeres	2010	360.236
20 Gipuzkoa	Mujeres	2009	358.878
20 Gipuzkoa	Mujeres	2008	356.377
20 Gipuzkoa	Mujeres	2007	353.544
17 Girona	Hombres	2021	393.769
17 Girona	Hombres	2020	391.183
17 Girona	Hombres	2019	385.298
17 Girona	Hombres	2018	380.690
17 Girona	Hombres	2017	377.615
17 Girona	Hombres	2016	376.943
17 Girona	Hombres	2015	376.936
17 Girona	Hombres	2014	379.175
17 Girona	Hombres	2013	382.685
17 Girona	Hombres	2012	383.428
17 Girona	Hombres	2011	381.448
17 Girona	Hombres	2010	380.773
17 Girona	Hombres	2009	379.629
17 Girona	Hombres	2008	372.266
17 Girona	Hombres	2007	358.108
17 Girona	Mujeres	2021	392.827
17 Girona	Mujeres	2020	390.605
17 Girona	Mujeres	2019	385.746
17 Girona	Mujeres	2018	381.257
17 Girona	Mujeres	2017	378.101
17 Girona	Mujeres	2016	376.633
17 Girona	Mujeres	2015	376.118
17 Girona	Mujeres	2014	376.981
17 Girona	Mujeres	2013	378.947
17 Girona	Mujeres	2012	378.199
17 Girona	Mujeres	2011	375.362
17 Girona	Mujeres	2010	372.273
17 Girona	Mujeres	2009	368.153
17 Girona	Mujeres	2008	359.598
17 Girona	Mujeres	2007	348.077
18 Granada	Hombres	2021	453.683
18 Granada	Hombres	2020	452.595
18 Granada	Hombres	2019	450.555
18 Granada	Hombres	2018	449.318
18 Granada	Hombres	2017	449.821
18 Granada	Hombres	2016	451.148
18 Granada	Hombres	2015	451.907
18 Granada	Hombres	2014	453.407
18 Granada	Hombres	2013	453.670
18 Granada	Hombres	2012	456.216
18 Granada	Hombres	2011	457.084
18 Granada	Hombres	2010	453.734
18 Granada	Hombres	2009	448.784
18 Granada	Hombres	2008	447.280
18 Granada	Hombres	2007	437.782
18 Granada	Mujeres	2021	467.655
18 Granada	Mujeres	2020	466.573
18 Granada	Mujeres	2019	464.123
18 Granada	Mujeres	2018	462.757
18 Granada	Mujeres	2017	463.117
18 Granada	Mujeres	2016	464.244
18 Granada	Mujeres	2015	465.390
18 Granada	Mujeres	2014	466.048
18 Granada	Mujeres	2013	465.649
18 Granada	Mujeres	2012	466.712
18 Granada	Mujeres	2011	467.466
18 Granada	Mujeres	2010	464.338
18 Granada	Mujeres	2009	458.644
18 Granada	Mujeres	2008	453.940
18 Granada	Mujeres	2007	446.317
19 Guadalajara	Hombres	2021	134.624
19 Guadalajara	Hombres	2020	132.839
19 Guadalajara	Hombres	2019	130.534
19 Guadalajara	Hombres	2018	128.854
